id,osm_type,osm_id,municipality,calc_area_m2,calc_capacity_kw,calc_annual_kwh,calc_peak_kw,matched_query_tags,osm_tags,generated_at
way/1014235846,way,1014235846,横瀬町,37.52,6.75,7087.5,5.06,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1014235847,way,1014235847,横瀬町,65.15,11.73,12316.5,8.8,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1014235848,way,1014235848,横瀬町,65.14,11.73,12316.5,8.8,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1014235849,way,1014235849,横瀬町,50.82,9.15,9607.5,6.86,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1014235850,way,1014235850,横瀬町,43.13,7.76,8148.0,5.82,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1014235851,way,1014235851,横瀬町,18.12,3.26,3423.0,2.44,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1014235852,way,1014235852,横瀬町,603.58,108.64,114072.0,81.48,power=plant + plant:source=solar,plant:method=photovoltaic; plant:output:electricity=yes; plant:source=solar; power=plant,2026-08-03T05:51:52+00:00
way/1039056913,way,1039056913,横瀬町,60.32,10.86,11403.0,8.14,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056914,way,1039056914,横瀬町,123.32,22.2,23310.0,16.65,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
way/1039056915,way,1039056915,横瀬町,115.4,20.77,21808.5,15.58,power=generator + generator:source=solar,generator:method=photovoltaic; generator:output:electricity=yes; generator:source=solar; generator:type=solar_photovoltaic_panel; power=generator,2026-08-03T05:51:52+00:00
